sample_size,req_index,rtt_ms,iptd_ms
10,1,390.760283000418,195.380141500209
10,2,309.210611000708,154.605305500354
10,3,360.989862999304,180.494931499652
10,4,330.66092700028094,165.33046350014047
10,5,325.79085499946814,162.89542749973407
10,6,292.75346800022817,146.37673400011408
10,7,473.7348729995574,236.8674364997787
10,8,388.2140720006646,194.1070360003323
10,9,362.15741700016224,181.07870850008112
10,10,252.6855699998123,126.34278499990614
20,1,325.202416999673,162.6012084998365
20,2,308.73351999980514,154.36675999990257
20,3,323.55429000017466,161.77714500008733
20,4,334.10517100037396,167.05258550018698
20,5,367.96991499977594,183.98495749988797
20,6,340.3669360004642,170.1834680002321
20,7,315.16944499981037,157.58472249990518
20,8,331.33080400057224,165.66540200028612
20,9,358.6963890002153,179.34819450010764
20,10,374.0799170000173,187.03995850000865
20,11,421.91030499998305,210.95515249999153
20,12,302.01302800014673,151.00651400007337
20,13,316.381409999849,158.1907049999245
20,14,321.2511470001118,160.6255735000559
20,15,330.1559229994382,165.0779614997191
20,16,415.84648299976834,207.92324149988417
20,17,397.10691399977804,198.55345699988902
20,18,296.7601669997748,148.3800834998874
20,19,319.2144799995731,159.60723999978654
20,20,369.43739199978154,184.71869599989077
30,1,267.97899000030156,133.98949500015078
30,2,294.3575780000174,147.1787890000087
30,3,319.3448600004558,159.6724300002279
30,4,298.11991099995794,149.05995549997897
30,5,302.9118889999154,151.4559444999577
30,6,346.9052169994029,173.45260849970146
30,7,318.78370599952177,159.39185299976089
30,8,314.8451089991795,157.42255449958975
30,9,290.707748999921,145.3538744999605
30,10,352.5759059994016,176.2879529997008
30,11,314.9718249997022,157.4859124998511
30,12,271.33779099949606,135.66889549974803
30,13,279.69871500044974,139.84935750022487
30,14,288.70252599972446,144.35126299986223
30,15,349.3932430001223,174.69662150006116
30,16,398.40673100025015,199.20336550012507
30,17,373.0351529993641,186.51757649968204
30,18,305.482798000412,152.741399000206
30,19,333.4110249998048,166.7055124999024
30,20,604.5148570001402,302.2574285000701
30,21,278.1334119999883,139.06670599999416
30,22,307.1630600006756,153.5815300003378
30,23,304.76040200028365,152.38020100014182
30,24,318.3645620001698,159.1822810000849
30,25,278.4032190002108,139.2016095001054
30,26,326.02067300013005,163.01033650006502
30,27,310.38794400046754,155.19397200023377
30,28,307.7600649994565,153.88003249972826
30,29,342.78166800049803,171.39083400024901
30,30,299.208524000278,149.604262000139
40,1,275.0681130000885,137.53405650004424
40,2,300.5792180001663,150.28960900008315
40,3,301.1020309995729,150.55101549978644
40,4,286.45075900021766,143.22537950010883
40,5,436.55664499965496,218.27832249982748
40,6,396.9355399995038,198.4677699997519
40,7,312.3746029996255,156.18730149981275
40,8,372.34697799976857,186.17348899988428
40,9,302.1792549998281,151.08962749991406
40,10,322.1477929992034,161.0738964996017
40,11,283.89357500054757,141.94678750027379
40,12,336.46548399974563,168.23274199987281
40,13,299.20546599987574,149.60273299993787
40,14,298.4056330005842,149.2028165002921
40,15,315.6219989996316,157.8109994998158
40,16,293.73559600026056,146.86779800013028
40,17,327.3512750001828,163.6756375000914
40,18,289.3070939999234,144.6535469999617
40,19,323.19849400028033,161.59924700014017
40,20,332.34806200016465,166.17403100008232
40,21,308.87890699978016,154.43945349989008
40,22,331.1176560000604,165.5588280000302
40,23,322.80137599991576,161.40068799995788
40,24,323.0306149998796,161.5153074999398
40,25,399.10417000010057,199.55208500005028
40,26,330.1233379997939,165.06166899989694
40,27,293.04589399998804,146.52294699999402
40,28,304.12375000014435,152.06187500007218
40,29,289.2098899992561,144.60494499962806
40,30,312.34546900032,156.17273450016
40,31,295.66606099979253,147.83303049989627
40,32,315.4205239998191,157.71026199990956
40,33,313.0744390000473,156.53721950002364
40,34,326.6351730007955,163.31758650039774
40,35,314.2800419991545,157.14002099957725
40,36,310.61581799986016,155.30790899993008
40,37,286.8817210000998,143.4408605000499
40,38,334.22475999941526,167.11237999970763
40,39,266.03979699939373,133.01989849969686
40,40,373.3072220002214,186.6536110001107
50,1,342.2414189999472,171.1207094999736
50,2,314.9529900001653,157.47649500008265
50,3,322.135232000619,161.0676160003095
50,4,445.4993919998742,222.7496959999371
50,5,399.53067999977065,199.76533999988533
50,6,320.3501959997084,160.1750979998542
50,7,319.90306900024734,159.95153450012367
50,8,278.3956869998292,139.1978434999146
50,9,337.14331699957256,168.57165849978628
50,10,299.2386779997105,149.61933899985524
50,11,311.0804369998732,155.5402184999366
50,12,330.836709000323,165.4183545001615
50,13,290.0343109995447,145.01715549977234
50,14,300.8769409998422,150.4384704999211
50,15,262.3446989991862,131.1723494995931
50,16,296.3567930000863,148.17839650004316
50,17,331.09957200031204,165.54978600015602
50,18,310.90594199940824,155.45297099970412
50,19,302.24389100021654,151.12194550010827
50,20,304.94104100034747,152.47052050017373
50,21,345.11844200005726,172.55922100002863
50,22,322.6189719998729,161.30948599993644
50,23,311.09213800027646,155.54606900013823
50,24,417.4976060003246,208.7488030001623
50,25,365.1901329994871,182.59506649974355
50,26,322.34792899998865,161.17396449999433
50,27,324.32888000039384,162.16444000019692
50,28,343.02682599991385,171.51341299995693
50,29,368.5317550007312,184.2658775003656
50,30,303.83149400040566,151.91574700020283
50,31,308.53439399925264,154.26719699962632
50,32,349.76797199942666,174.88398599971333
50,33,345.4495070000121,172.72475350000605
50,34,286.1667759998454,143.0833879999227
50,35,304.9338490000082,152.4669245000041
50,36,397.84035899992887,198.92017949996443
50,37,309.8078960001658,154.9039480000829
50,38,391.0581270001785,195.52906350008925
50,39,330.1180709995606,165.0590354997803
50,40,318.70486499974504,159.35243249987252
50,41,285.56460100026015,142.78230050013008
50,42,279.0896119995523,139.54480599977614
50,43,461.0268839996934,230.5134419998467
50,44,370.0770490004288,185.0385245002144
50,45,322.97952200042346,161.48976100021173
50,46,308.51607200020226,154.25803600010113
50,47,297.94123499959824,148.97061749979912
50,48,317.9949659997874,158.9974829998937
50,49,284.35664999960863,142.17832499980432
50,50,317.26028100001713,158.63014050000857
60,1,293.84454499995627,146.92227249997813
60,2,305.39857700023276,152.69928850011638
60,3,340.3545519995532,170.1772759997766
60,4,304.75676200057933,152.37838100028966
60,5,349.76429699963774,174.88214849981887
60,6,326.61250199998904,163.30625099999452
60,7,327.3462009992727,163.67310049963635
60,8,297.2940900008325,148.64704500041626
60,9,327.7092319995063,163.85461599975315
60,10,350.4224680000334,175.2112340000167
60,11,341.02508799969655,170.51254399984828
60,12,410.72792199975083,205.36396099987542
60,13,493.08120800014876,246.54060400007438
60,14,301.3741889999437,150.68709449997186
60,15,326.98209499994846,163.49104749997423
60,16,296.04278700026043,148.02139350013022
60,17,328.09780800016597,164.04890400008298
60,18,283.4996609999507,141.74983049997536
60,19,314.45705900023313,157.22852950011657
60,20,279.54053099983867,139.77026549991933
60,21,344.325015999857,172.1625079999285
60,22,277.683240999977,138.8416204999885
60,23,440.1404879999973,220.07024399999864
60,24,310.1253680006266,155.0626840003133
60,25,287.8821099993729,143.94105499968646
60,26,307.2548600002847,153.62743000014234
60,27,320.9279749999041,160.46398749995205
60,28,320.3550489997724,160.1775244998862
60,29,251.44673500017234,125.72336750008617
60,30,277.17656300046656,138.58828150023328
60,31,294.1140689999884,147.0570344999942
60,32,429.9898889994438,214.9949444997219
60,33,443.30011599959107,221.65005799979554
60,34,294.3593019999753,147.17965099998764
60,35,307.2168470007455,153.60842350037274
60,36,302.57264700048836,151.28632350024418
60,37,280.06244800053537,140.03122400026768
60,38,317.05355000030977,158.52677500015488
60,39,281.02188400043815,140.51094200021907
60,40,335.8475240002008,167.9237620001004
60,41,293.03341200011346,146.51670600005673
60,42,282.9541649998646,141.4770824999323
60,43,314.10029999915423,157.05014999957712
60,44,299.1509670000596,149.5754835000298
60,45,328.30798200029676,164.15399100014838
60,46,274.98001499952807,137.49000749976403
60,47,318.35916,159.17958
60,48,275.91710099932243,137.95855049966121
60,49,282.85326799959876,141.42663399979938
60,50,337.19985199968505,168.59992599984253
60,51,303.89558100068825,151.94779050034413
60,52,425.395868999658,212.697934499829
60,53,417.70790699956706,208.85395349978353
60,54,356.55987300015113,178.27993650007556
60,55,299.86424100025033,149.93212050012517
60,56,314.8536070002592,157.4268035001296
60,57,260.28790899999876,130.14395449999938
60,58,333.07650799997646,166.53825399998823
60,59,303.71214200022223,151.85607100011111
60,60,295.5421659999047,147.77108299995234
70,1,301.82176000016625,150.91088000008313
70,2,255.4089670002213,127.70448350011065
70,3,350.4793140000402,175.2396570000201
70,4,336.79929400022957,168.39964700011478
70,5,296.28978299933806,148.14489149966903
70,6,313.98904099933134,156.99452049966567
70,7,308.0559390000417,154.02796950002084
70,8,309.02084199988167,154.51042099994083
70,9,292.6968329993542,146.3484164996771
70,10,299.37042700021266,149.68521350010633
70,11,339.2930259997229,169.64651299986144
70,12,399.1922630002591,199.59613150012956
70,13,323.24553499984177,161.62276749992088
70,14,387.44519099964236,193.72259549982118
70,15,285.7344180001746,142.8672090000873
70,16,299.7409529998549,149.87047649992746
70,17,332.9972169995017,166.49860849975084
70,18,342.79718099969614,171.39859049984807
70,19,264.25510100034444,132.12755050017222
70,20,323.71085500017216,161.85542750008608
70,21,317.6233300000604,158.8116650000302
70,22,333.0506709999099,166.52533549995496
70,23,300.3384390003703,150.16921950018514
70,24,341.29345699966507,170.64672849983253
70,25,331.86552499955724,165.93276249977862
70,26,294.6460200000729,147.32301000003645
70,27,304.6263910000562,152.3131955000281
70,28,294.2184260000431,147.10921300002155
70,29,330.4732120004701,165.23660600023504
70,30,313.4840789998634,156.7420394999317
70,31,475.10216499995295,237.55108249997647
70,32,358.49085000063496,179.24542500031748
70,33,288.1844160001492,144.0922080000746
70,34,261.3965410000674,130.6982705000337
70,35,334.5282539994514,167.2641269997257
70,36,286.44918000009056,143.22459000004528
70,37,347.48342000057164,173.74171000028582
70,38,295.6550349999816,147.8275174999908
70,39,295.93288299929554,147.96644149964777
70,40,298.0931110005258,149.0465555002629
70,41,300.7375019997198,150.3687509998599
70,42,311.95464299980813,155.97732149990406
70,43,290.7669429996531,145.38347149982656
70,44,293.0679479995888,146.5339739997944
70,45,375.1748470003804,187.5874235001902
70,46,286.0146499997427,143.00732499987134
70,47,302.79012999926636,151.39506499963318
70,48,328.7478190004549,164.37390950022746
70,49,305.25105800006713,152.62552900003357
70,50,312.4231289993986,156.2115644996993
70,51,415.4868159994294,207.7434079997147
70,52,353.56638000030216,176.78319000015108
70,53,252.41338100022404,126.20669050011202
70,54,289.31210300015664,144.65605150007832
70,55,300.8772580005825,150.43862900029126
70,56,284.70577400003094,142.35288700001547
70,57,306.3737250004124,153.1868625002062
70,58,259.73540999984834,129.86770499992417
70,59,318.50895099978516,159.25447549989258
70,60,309.29403900063335,154.64701950031667
70,61,307.25982599960844,153.62991299980422
70,62,315.1690400000007,157.58452000000034
70,63,299.34477400001924,149.67238700000962
70,64,299.6096619999662,149.8048309999831
70,65,331.0572049995244,165.5286024997622
70,66,304.7375930000271,152.36879650001356
70,67,315.0492730001133,157.52463650005666
70,68,301.93077300009463,150.96538650004732
70,69,306.5025590003643,153.25127950018214
70,70,310.42540700036625,155.21270350018312
80,1,415.7256279995636,207.8628139997818
80,2,372.2020570003224,186.1010285001612
80,3,302.3045399995681,151.15226999978404
80,4,378.8392370006477,189.41961850032385
80,5,336.6730470006587,168.33652350032935
80,6,342.40234499975486,171.20117249987743
80,7,275.20361299957585,137.60180649978793
80,8,286.24462299922016,143.12231149961008
80,9,296.38812099983625,148.19406049991812
