sample_size,num_success,avg_rtt_ms,avg_iptd_ms
10,10,348.6957939000604,174.3478969500302
20,20,343.46430264995433,171.73215132497717
30,30,323.28230359999,161.641151799995
40,40,318.8800058749166,159.4400029374583
50,50,328.6176771799546,164.3088385899773
60,60,322.31565466666626,161.15782733333313
70,70,315.05097089997696,157.52548544998848
80,80,317.39136268746506,158.69568134373253
90,90,327.96616618890965,163.98308309445483
100,100,340.16333243999725,170.08166621999862
110,110,323.0714205908953,161.53571029544764
120,120,322.03923261666506,161.01961630833253
130,130,316.331514738445,158.1657573692225
140,140,331.52057463570213,165.76028731785107
150,150,347.47575530667143,173.73787765333572
160,160,348.82642573123803,174.41321286561902
170,148,332.77638634462704,166.38819317231352
180,180,320.78842693335395,160.39421346667697
190,190,319.10423435263414,159.55211717631707
200,200,316.9531044649784,158.4765522324892
