size_mb,throughput_upload_kbps,throughput_download_kbps,time_upload_s,time_download_s,time_total_s
5,4963.606012829362,5931.935390877464,8.450114672999916,7.070717605000027,15.520832277999943
10,5939.01474484672,3589.581313240006,14.124578503999828,23.369321567000043,37.49390007099987
15,6945.6350631385,6220.732563029353,18.116287259000046,20.22737976999997,38.34366702900002
20,6298.779530334184,5114.32549136236,26.635661589999927,32.80435714999999,59.440018739999914
25,5186.640886175674,3348.7017187002525,40.4337228280001,62.625822666999966,103.05954549500007
30,3843.975987963251,6341.946306299736,65.46821332600007,39.68154693300016,105.14976025900023
35,2837.512823596568,1859.619976949017,103.47134911900002,157.88240803999997,261.353757159
40,6119.160567289096,5561.414167688787,54.835024560999955,60.3343519980001,115.16937655900006
45,4618.089614027085,5667.614312535284,81.7410209740001,66.6042781289998,148.3452991029999
50,6507.557536436835,6618.773844886811,64.45281469300016,63.36980380800014,127.8226185010003
