sec,mbps,cum_bytes
1,8.306384535921353,1089536
2,8.348421619101776,1094656
3,8.308053116977783,1089536
4,8.347999830318386,1094656
5,8.385874548452586,1099776
6,8.385876546669403,1099776
7,8.393024651603081,1100800
8,8.315732635882165,1090560
9,8.366134329098282,1096704
10,8.380510723983281,1098752
11,8.357719119885296,1095680
12,8.360496000034304,1096704
13,8.245388107180727,1081344
14,8.333215593013184,1092608
15,8.38385483829086,1099776
16,8.364371659092274,1096704
17,8.356340716621538,1095680
18,8.235162398561942,1080320
19,8.343790247798408,1094656
20,8.362651578821701,1096704
21,8.369390879211076,1097728
22,8.366998664940578,1097728
23,8.311861891858774,1089536
24,8.345014704848849,1094656
25,8.349128011808768,1094656
26,8.357091611150175,1095680
27,8.357762949412805,1095680
28,8.314977740025899,1090560
29,8.354076899396802,1095680
